title,organisation,lat,lon,region
BlackSheepFarm-Pest Control,Black Sheep Farm,-36.0391,174.5168,Northland
Poporangi,,-39.6638,176.3973,Wellington
Kingston,Kingston Community Association,-45.3306,168.7139,Otago
Te Waotu School trap library,Te Waotu School,-38.1371,175.6621,Waikato
Taupo Intermediate Grounds,Taupo Intermediate School,-38.6973,176.0981,Waikato
Coprosma Crescent,B Wills,-38.7068,176.103,Unknown
Predator Free Mt Vic,Predator Free Mt Vic,-41.2993,174.7951,Wellington
Hinepango Wetlands,Rarangi Dawn Chorus,-41.4198,174.0279,Nelson Marlborough
Whites Bay,Rarangi Dawn Chorus,-41.3826,174.0601,Nelson Marlborough
Orecs,,-37.0095,174.94,Auckland
Kāpiti Rat Pack,Kāpiti Rat pack,-40.8812,175.0353,Wellington
Predator Free Houghton Valley,Predator Free Houghton Valley,-41.3377,174.7869,Wellington
Tangirau Wetland Restoration Project - Stage 1,Boffa Miskell Limited,-37.6997,175.158,Waikato
Waikanae Estuary River Run,,-40.8738,175.0104,Wellington
Motu Kaikoura rat eradication project,Motu Kaikoura Trust  ,-36.1743,175.3251,Unknown
Te Manu Waiata/The Bird Song Project - Sumner Bays,Predator Free Sumner (Part of Predator Free Port Hills) ,-43.5714,172.7508,Canterbury
Omaha Pest Free 2020,Omaha Community,-36.3403,174.7785,Northland
Field Reserve,Forest & Bird,-40.8981,175.0307,Wellington
Pest Free Glendhu Scenic Reserve,Friends of Glendhu Scenic Reserve,-36.77,174.7132,Auckland
Inglis Bush Community Trust,Inglis Bush Community Trust,-39.9269,176.336,Wellington
Waiheke Ratbusters,Community Project,-36.795,175.0976,Auckland
Tata Islands Pest Eradication Project,Tata Islands Pest Eradication Project,-40.8026,172.9121,Nelson Marlborough
Kerikeri Peninsula Conservation Charitable Trust,Kerikeri Peninsula Pest Control,-35.1838,174.0021,Northland
Te Manu Waiata Wainui - Okitu,Te Manu Waiata Wainui - Okitu,-38.6838,178.0761,East Coast
Opepe DOC Reserve,Predator Free Taupo (With DOC and Forest and Bird),-38.764,176.2156,Unknown
Waikuku Stream,Finn,-43.2921,172.678,Canterbury
Kahunui Pest Control Scheme,Kahunui,-38.1455,177.1874,Bay of Plenty
Honeymoon Valley Landcare Trust,Honeymoon Valley Landcare Group,-35.1543,173.5002,Northland
The Sanctuary  CPCA,Community pest  control area ,-36.0742,174.5648,Northland
Bream Tail Farm,Residential Community Pest Control Area,-36.0635,174.584,Northland
Ecozip Adventures,Sally Horwood Ltd,-36.8035,175.0847,Auckland
Hollister Project,Sally Horwood Ltd,-36.806,175.0805,Auckland
"Durham Rd, Brynderwyns",Durham Rd Farm,-36.0413,174.3975,Northland
Head street traps,,-43.5756,172.766,Canterbury
Kapiti Airport Drain,Ward House,-40.9088,174.9844,Wellington
Queenstown Backyard Trappers,Individuals in the Queenstown area with a trap in their backyard who are not part of other projects.,-45.0247,168.7517,Otago
Blowhard Bush  ,NZ Forest & Bird Hastings and Havelock North Branch,-39.4109,176.4148,Unknown
Waipahihi Gully restoration,Waipahihi Gully Restoration Group,-38.7225,176.0906,Unknown
Cross Creek Incline Walkway,DOC,-41.1678,175.2362,Wellington
Project birdie,,-36.234,175.4451,Unknown
Predator Free BOP [PLEASE DON'T USE THIS SYSTEM. See predatorfreebop.nz.],Predator Free BOP,-37.7055,176.177,Waikato
Matakohe-Limestone Island,,-35.7844,174.3562,Northland
Gerontius Reserve,Friends of Gerontius Reserve,-36.7031,174.7383,Auckland
Lower Waimata,,-38.6631,178.0445,East Coast
RDWT,Routeburn Dart Wildlife Trust,-44.8159,168.3765,Otago
Fawcett Rd,,-36.9554,174.6334,Auckland
Canterbury Spotted Skink,Orana Wildlife Park,-43.4696,172.4707,Canterbury
SIRCET Backyard Trapping,Stewart Island/Rakiura Community and Environment Trust,-46.902,168.1436,Southland
Waingaki Wetland,Clark Farming Group,-38.687,177.8788,East Coast
PFW - Predator Free Seatoun,,-41.3216,174.8295,Wellington
Parsons wetland pest eradication,Driftwood Eco Tours,-41.5166,174.0448,Nelson Marlborough
Rodent Free Wadestown,,-41.2626,174.776,Wellington
Atawai,Mary and Ian Campbell,-38.922,177.5127,East Coast
3408B Coast Road,David Moore,-42.1888,171.3336,West Coast
Phil Esplanade,,-43.5695,172.7627,Canterbury
EMEP Black-billed gull,Hawke's Bay Regional Council,-39.5941,176.9423,Unknown
Paremata Trapping Project,Forest and Bird,-41.1745,173.4312,Nelson Marlborough
Eskdale Reserve Trapping,Kaipatiki Project,-36.7949,174.7166,Auckland
University Trapping ,ZEALANDIA,-41.2898,174.7686,Wellington
Tongaporutu Conservation Action Group,"TRC, Dotterel Defenders, NPDC and Tongaporutu Community",-38.8161,174.5907,Unknown
